,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,Personal consumption expenditures,Private fixed investment,Government consumption expenditures and gross investment,Exports of goods and services,Imports of goods and services
"Agriculture, forestry, fishing, and hunting",95364.60512,156.1556113,10.14842923,3252.620675,303369.5198,1584.270183,3320.240573,166.6218915,67.47587772,191.3699998,2630.301318,296.4778144,7648.367031,258.4162028,6475.257983,148504.813,480.9608939,146.1494971,66385.57395,-198859.3458
Mining,2666.853415,32190.5075,40760.0839,23499.54577,311796.8945,421.5625892,414.1088155,790.9939874,1075.730489,2241.440569,2426.666992,1443.971019,1852.195494,1312.760461,37497.16196,12037.5592,93095.97483,4112.140422,39211.08555,-155499.2375
Utilities,3702.797887,4745.628381,23919.488,4342.421152,52845.7707,10354.28488,22420.92551,11755.29211,5633.979861,73279.82273,12694.28952,17747.8578,21205.6118,3639.616416,19756.54896,197633.7001,1911.018153,2246.529306,2986.751512,24274.66517
Construction,1573.592853,3955.741259,8774.135128,294.8415276,14936.51933,1885.035421,3850.86007,6712.827006,2350.460877,134881.7853,1908.456566,2268.546179,3027.44973,3770.540696,82177.36959,24.06394246,933424.8581,520171.8943,109.0221069,0
Manufacturing,107489.7056,55914.83012,25431.08304,530509.5423,2213460.877,84090.62315,80884.05965,150447.7186,109396.1323,111113.0389,205128.9463,252872.8784,135339.6248,76608.48505,402154.6504,3493512.454,1175834.965,138820.759,1056347.733,-4862438.107
Wholesale trade,2446.182878,469.6463393,1508.8448,1867.758195,29209.13847,44937.37376,16665.55002,2517.111345,4074.951563,13494.1002,5369.040739,4316.746661,2345.724743,1129.269473,4445.401326,57031.08893,5971.602998,1401.339747,1766297.128,0
Retail trade,547.1862133,407.6723575,484.6186107,2865.624757,9153.527766,4237.865884,4733.415973,3745.341456,3276.625639,10419.85774,7885.417193,6679.597525,3879.746938,1713.037424,7017.807626,1590954.228,10519.88776,2437.099617,3999.441918,0
Transportation and warehousing,1020.98649,2657.562426,10227.48926,1193.445734,18155.3447,75607.38421,82381.39798,125358.7467,14338.32543,31507.03383,43492.93002,17017.36484,9502.763431,3844.125643,39256.8603,217226.8575,2159.814959,624.5686942,56290.22241,475515.7755
Information,1213.907758,4251.239357,6764.377303,17998.91469,37339.38338,42612.2046,38281.73147,13055.89188,233467.4687,98078.22833,137978.6633,52792.41836,31733.11945,16637.13618,120299.2366,562802.1334,258722.5366,27292.2008,97187.31178,-64132.10392
"Finance, insurance, real estate, rental, and leasing",40202.70499,26024.77567,17244.80687,56621.9503,93415.21864,153411.1677,187111.0095,104458.9272,72874.92609,1149484.04,251770.8602,271621.155,129784.1654,81770.59307,177883.316,3002789.903,156276.8436,3623.588543,206936.2166,605485.8315
Professional and business services,4250.761166,31981.1303,33658.44366,84463.04101,239823.3655,225711.3701,160914.2315,62187.03739,190272.6624,424268.2186,497620.7035,229033.4986,147277.0163,42717.09171,237219.2262,226025.7724,571641.8314,152569.035,156818.5919,657436.9714
"Educational services, health care, and social assistance",123.8446027,427.2320854,784.7053688,1101.689765,3340.683697,5064.15593,7511.055734,1246.54382,3882.174627,8453.520619,9442.325622,40112.77428,4688.866571,4210.660676,32485.23464,2511187.893,8467.127133,2258.906373,6373.963281,138396.6426
"Arts, entertainment, recreation, accommodation, and food services",753.0947595,677.3954138,3468.569781,1549.069135,10125.11553,8970.151063,8712.380794,7879.630174,39628.17519,70479.1424,65144.10051,49642.96256,34810.16215,6382.36875,24883.7852,1004191.31,8047.795304,998.5194674,4172.60963,193339.662
"Other services, except government",712.9318296,580.3601282,741.733603,7443.878713,12954.6027,18118.5461,11829.98531,15580.07286,6424.718066,27430.28665,23359.63001,22456.60418,12044.21164,6959.481162,24611.33265,479354.4431,891.7160323,231.1197309,237.7342802,204005.6113
Government,2972.844453,3270.123053,13760.47224,6008.656262,37901.03785,33371.00448,25919.04716,20507.24352,15198.19288,78771.11362,38606.66811,33522.14682,23597.97452,7091.417097,34848.8106,582872.9514,36001.0675,2670622.599,14184.60275,61007.02664
Compensation of employees,58362,70543,85838,656805,1008194,480180,564286,410492,322355,1008997,2281652,1485416,544147,464571,2002656,,,,,
"Taxes on production and imports, less subsidies",-9578,44327,64536,11111,83148,280605,244405,43022,60532,361361,64543,42116,122183,32563,-27336,,,,,
Gross operating surplus,127624,170768,179184,315169,1063751,494336,211317,247455,649527,3184341,724236,260203,308789,120790,513703,,,,,
