,amaiz,asorg,arice,apuls,agnut,aoils,acass,aroot,avege,asugr,atoba,acott,afrui,acoco,acoff,aocrp,acatt,apoul,aoliv,afore,afish,acoil,aomin,ameat,afveg,afoil,agmll,asref,afood,abeve,aptob,atext,aclth,aleat,awood,apetr,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,households,government,investment,exports,imports,stock changes
amaiz,5.780510671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2187.474158,0,15.44139829,21.88501924,0,0,0,0,0,0,0,0,0,1.345809804,0,0,0,0,0,0,261.8767231,0,0,0,0,0,0,0,0,395.0904079,0,0,1.063709379,-10.87720376,0
asorg,0,1.460428046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.488495629,654.2074117,0,5.388304229,52.79472134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.3561989,0,0,0,0,0,0,0,0,68.44674848,0,0,0.004178203,-0.272217916,0
arice,0,0,26.75979281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549.817423,0,1.798745332,1.088179392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.92288229,0,0,0,0,0,0,0,0,526.24818,0,0,0.000957838,-749.1387892,0
apuls,0,0,0,1.491611464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.66202822,0,0,0,0,0,0,0,0,237.9860119,0,0,2.56039817,-5.769760114,0
agnut,0,0,0,0,2.375153745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.775775341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.88920537,0,0,0,0,0,0,0,0,298.9950903,0,0,0.077740284,-0.012873155,0
aoils,0,0,0,0,0,7.501345299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.201590568,1075.187804,0,0,4.492708342,12.5746601,0,0,0,0.190906142,0,0,20.57590716,0,0,0,0,0,0,0,0,0,98.81232469,0,0,0,0,0,0,0,0,26.1373882,0,0,170.9879917,-0.417214855,0
acass,0,0,0,0,0,0,11.15094975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50512249,2.490208714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93876593,0,0,0,0,0,0,0,0,560.8182255,0,0,0.0165127,0,0
aroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.259051642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.48215735,0,0,0,0,0,0,0,0,1158.703975,0,0,0.012662674,-2.696591296,0
avege,0,0,0,0,0,0,0,0,6.936219554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138102625,0,0,0,1.674305243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0590548,0,0,0,0,0,0,0,0,3464.559128,0,0,57.01076817,-51.2287842,0
asugr,0,0,0,0,0,0,0,0,0,3.397767533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.94032591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017769049,-0.066804767,0
atoba,0,0,0,0,0,0,0,0,0,0,0.176342846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.806325951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acott,0,0,0,0,0,0,0,0,0,0,0,0.572084398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.3123681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0145378,-0.567583867,0
