,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,Personal consumption expenditures,Private fixed investment,Government consumption expenditures and gross investment,Exports of goods and services,Imports of goods and services
"Agriculture, forestry, fishing, and hunting",101626.2501,129.2640827,3.279878932,2128.664222,260713.0684,55.74542653,2822.559202,174.5717189,67.43328462,138.9846218,4064.540227,278.9128493,8053.266287,279.4466371,6057.352804,87524.37225,10.29431138,0.228114246,51372.32077,-72068.55518
Mining,2082.479882,46044.9407,27233.31642,20706.42934,330981.124,279.9096831,210.4185451,567.7113637,1107.940457,358.2056631,2164.545387,1108.337536,1620.505879,805.5971335,27583.93424,7914.659161,127446.3035,480.4915537,99690.61935,-145241.4698
Utilities,3321.207862,6851.47792,17061.64982,3589.940566,42143.9065,11413.58148,24993.91518,9247.216078,4111.440944,82137.43777,12311.41828,13010.11508,23960.18588,2900.069341,19138.76641,217437.9452,22.2886011,2002.377403,3319.185403,-7346.125739
Construction,1680.481741,3499.920628,6837.891201,216.933098,14192.62301,1982.388633,4458.624964,5921.173915,2455.242805,160700.4401,1798.445361,1327.590572,3309.979205,3369.960707,95535.53693,0,1122726.752,351823.0461,100.9688613,0
Manufacturing,73329.78698,68757.85018,18227.65099,401604.7837,2059167.836,68864.87993,54437.55309,103701.2981,95919.92098,83862.5183,162728.0396,201855.8966,112710.0132,64648.84663,426303.0684,1990216.593,1014001.58,125355.709,951456.6565,-2101050.481
Wholesale trade,40042,15165,6211,86387,390774,57498,31002,26595,23618,28196,37767,57554,29199,13848,75289,593220,253641,27030,269178,0
Retail trade,1428.569011,860.3315118,1684.774339,88515.45184,23444.28292,1179.342038,8677.086302,12387.57748,1062.703814,10757.63308,7645.286633,1567.139208,13350.59051,13333.64307,3069.479403,1479070.59,106548.5187,0,0,0
Transportation and warehousing,12364.57068,18539.54479,27335.34494,31617.03108,201020.772,82420.02363,77281.34572,150302.6386,25016.41635,46911.22296,71689.62434,28123.91232,16413.8723,7683.635151,75688.11508,360367.9947,32456.77106,3659.365996,116470.6071,-60571.80888
Information,788.5175787,5427.080351,4417.143842,13399.86712,40690.08149,42188.90628,42019.49972,19386.02614,246866.3874,108090.8036,163357.9018,57201.99352,33382.59239,22278.47438,114570.275,566787.7305,258181.01,22826.64776,86653.97263,-34970.91148
"Finance, insurance, real estate, rental, and leasing",33494.73041,42307.53616,13403.60656,56411.31065,90643.41811,186382.8556,231215.0044,137695.5766,83857.45093,1438975.989,348692.9129,319486.9673,167241.8391,90093.22596,145610.2542,3607190.794,161334.1419,0.082700765,234369.0927,-98234.78925
Professional and business services,3529.244548,55170.37485,27400.58988,82056.16316,307200.1447,289877.2313,220872.6643,96163.32835,233861.5001,591169.6022,727374.4228,285542.59,197977.3576,59477.93681,259505.1724,275491.0992,776145.2117,200596.62,201869.5565,-139000.8102
"Educational services, health care, and social assistance",15.91004135,0,203.2949729,8.838911863,129.0481132,2481.966451,7562.57299,301.4068945,320.8525006,34.47175627,1551.229032,38603.94756,2182.327339,4262.123301,31597.34213,2817599.38,0,0,4810.135836,-11073.84813
"Arts, entertainment, recreation, accommodation, and food services",558.4964245,705.4179577,2249.553542,1057.640441,11799.4532,10324.39993,9522.655934,21042.86093,46601.36977,86560.13486,82679.8496,56741.87454,42904.00668,8427.068872,24878.38864,1252809.644,5848.644612,0,4302.563047,-4777.023062
"Other services, except government",674.9068434,902.1675232,466.4531932,8248.853902,21507.6865,29064.94152,18953.0287,19603.44107,8617.866601,39068.28907,35521.74121,27545.07122,18559.97268,10380.86456,32206.47187,669915.053,2.066853706,0,82.33539837,-16422.21172
Government,2086.847929,3147.093342,9334.450406,2904.092011,26599.55545,23078.82811,20546.07102,20732.17266,7645.474064,58511.26706,22502.04286,22907.6517,18252.49097,5186.107459,24382.84245,582695.1505,5275.416494,2993909.431,7880.985891,-7138.971379
Compensation of employees,58362,70543,85838,656805,1008194,480180,564286,410492,322355,1008997,2281652,1485416,544147,464571,2002656,,,,,
"Taxes on production and imports, less subsidies",-9578,44327,64536,11111,83148,280605,244405,43022,60532,361361,64543,42116,122183,32563,-27336,,,,,
Gross operating surplus,127624,170768,179184,315169,1063751,494336,211317,247455,649527,3184341,724236,260203,308789,120790,513703,,,,,
