"The Use of Commodities by Industries, After Redefinitions (Producers' Prices)"
"(Millions of dollars)" 
"Bureau of Economic Analysis" 
"2019"
"","Commodities/Industries","11","21","22","23","31G","42","44RT","48TW","51","FIRE","PROF","6","7","81","G","","","","F010","F020","F030","F040","F050","F100","","","",""
"IOCode","Name","Agriculture, forestry, fishing, and hunting","Mining","Utilities","Construction","Manufacturing","Wholesale trade","Retail trade","Transportation and warehousing","Information","Finance, insurance, real estate, rental, and leasing","Professional and business services","Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government","Government","Sum of Intermediate Selected","Intermediate Not Selected","Total Intermediate","Personal consumption expenditures","Private fixed investment","Change in private inventories","Exports of goods and services","Imports of goods and services","Government consumption expenditures and gross investment","Sum of Final Uses (GDP) Selected","Sum of Final Uses (GDP) Not Selected","Total Final Uses (GDP)","Total Commodity Output"
"11","Agriculture, forestry, fishing, and hunting",102323,129,"...",2141,262482,41,2828,145,"...",14,3972,198,8046,269,6062,388650,"...",388650,86301,"...",-9907,51717,-61383,"...",66728,0,66728,455378
"21","Mining",1803,45879,27222,19197,323725,19,4,169,743,45,1552,334,1191,558,25997,448438,"...",448439,228,123809,4024,96224,-139462,"...",84823,0,84823,533262
"22","Utilities",4401,9069,22602,4753,55770,15113,33117,12244,5446,108837,16307,17234,31747,3841,25349,365830,"...",365828,288088,"...","...",4375,-2086,"...",290377,0,290377,656205
"23","Construction",1681,3501,6840,217,14197,1983,4460,5923,2456,160750,1799,1328,3311,3371,95565,307382,"...",307383,"...",1123073,"...",101,"...",356640,1479814,0,1479814,1787197
"31G","Manufacturing",73593,68684,18120,402740,2065118,67775,53614,103649,95198,81372,159958,201300,112217,64618,426662,3994618,"...",3994618,1996534,1013738,43911,954024,-2109823,124795,2023179,0,2023179,6017797
"42","Wholesale trade",40042,15165,6211,86387,390774,57498,31002,26595,23618,28196,37767,57554,29199,13848,75289,919145,"...",919144,593220,253641,6314,191276,77752,27030,1149233,0,1149233,2068377
"44RT","Retail trade",1433,863,1690,88790,23517,1183,8704,12426,1066,10791,7669,1572,13392,13375,3079,189550,"...",189549,1489087,106879,"...","...","...","...",1595966,0,1595966,1785514
"48TW","Transportation and warehousing",12433,18942,27974,32308,205045,84173,78961,153859,25426,47552,72808,28564,16627,7819,77289,889780,"...",889782,368551,32595,1716,119006,-29608,3581,495841,0,495841,1385623
"51","Information",580,2180,2807,8579,22634,25141,29023,13737,233477,73325,120696,40305,21742,18788,99339,712353,"...",712352,541764,212820,953,74864,-17694,11031,823738,0,823738,1536090
"FIRE","Finance, insurance, real estate, rental, and leasing",33682,42544,13478,56726,91145,187423,232507,138462,84326,1447032,350642,321274,168177,90597,146422,3404437,"...",3404437,3627344,162237,"...",235679,-51199,"...",3974062,0,3974062,7378498
"PROF","Professional and business services",3767,58916,29259,87634,328042,309601,235888,102698,249614,631317,776829,304948,211442,63511,277096,3670562,"...",3670562,293357,828837,"...",215534,-140253,214258,1411733,0,1411733,5082295
"6","Educational services, health care, and social assistance",18,"...",230,10,146,2808,8556,341,363,39,1755,43675,2469,4822,35748,100980,"...",100979,3187722,"...","...",5442,-7168,"...",3185996,0,3185996,3286975
"7","Arts, entertainment, recreation, accommodation, and food services",574,725,2312,1087,12127,10611,9787,21627,47895,88963,84975,58317,44095,8661,25569,417325,"...",417322,1287587,6011,"...",4422,-1329,"...",1296691,0,1296691,1714013
"81","Other services, except government",677,905,468,8279,21587,29171,19020,19675,8649,39196,35650,27639,18627,10418,32321,272282,"...",272282,672007,"...","...",79,-4899,"...",667187,0,667187,939469
"G","Government",17,6,2857,5,4698,14553,7104,12272,2853,18044,9470,8614,6836,2479,9629,99437,"...",99437,81863,"...","...",912,-295,2995056,3077536,0,3077536,3176973
"Used","Scrap, used and secondhand goods",39,109,4799,2443,26026,"...",380,11512,130,-35,71,3754,263,11002,-51,60442,"...",60440,97015,-171875,2088,23313,-17452,15484,-51427,0,-51427,9013
